country,store,product,year,month,day,day_of_week,day_of_year,is_weekend,gen_f1,gen_f2
0,0,3,2017,1,1,-0.7818314824680299,1,1,3,0
0,0,1,2017,1,1,-0.7818314824680299,1,1,1,0
0,0,2,2017,1,1,-0.7818314824680299,1,1,2,0
0,0,0,2017,1,1,-0.7818314824680299,1,1,0,0
0,1,3,2017,1,1,-0.7818314824680299,1,1,3,0
0,1,1,2017,1,1,-0.7818314824680299,1,1,1,0
0,1,2,2017,1,1,-0.7818314824680299,1,1,2,0
0,1,0,2017,1,1,-0.7818314824680299,1,1,0,0
1,0,3,2017,1,1,-0.7818314824680299,1,1,3,0
1,0,1,2017,1,1,-0.7818314824680299,1,1,1,0
1,0,2,2017,1,1,-0.7818314824680299,1,1,2,0
1,0,0,2017,1,1,-0.7818314824680299,1,1,0,0
1,1,3,2017,1,1,-0.7818314824680299,1,1,3,1
1,1,1,2017,1,1,-0.7818314824680299,1,1,1,1
1,1,2,2017,1,1,-0.7818314824680299,1,1,2,1
1,1,0,2017,1,1,-0.7818314824680299,1,1,0,1
2,0,3,2017,1,1,-0.7818314824680299,1,1,3,0
2,0,1,2017,1,1,-0.7818314824680299,1,1,1,0
2,0,2,2017,1,1,-0.7818314824680299,1,1,2,0
2,0,0,2017,1,1,-0.7818314824680299,1,1,0,0
2,1,3,2017,1,1,-0.7818314824680299,1,1,3,2
2,1,1,2017,1,1,-0.7818314824680299,1,1,1,2
2,1,2,2017,1,1,-0.7818314824680299,1,1,2,2
2,1,0,2017,1,1,-0.7818314824680299,1,1,0,2
3,0,3,2017,1,1,-0.7818314824680299,1,1,3,0
3,0,1,2017,1,1,-0.7818314824680299,1,1,1,0
3,0,2,2017,1,1,-0.7818314824680299,1,1,2,0
3,0,0,2017,1,1,-0.7818314824680299,1,1,0,0
3,1,3,2017,1,1,-0.7818314824680299,1,1,3,3
3,1,1,2017,1,1,-0.7818314824680299,1,1,1,3
3,1,2,2017,1,1,-0.7818314824680299,1,1,2,3
3,1,0,2017,1,1,-0.7818314824680299,1,1,0,3
4,0,3,2017,1,1,-0.7818314824680299,1,1,3,0
4,0,1,2017,1,1,-0.7818314824680299,1,1,1,0
4,0,2,2017,1,1,-0.7818314824680299,1,1,2,0
4,0,0,2017,1,1,-0.7818314824680299,1,1,0,0
4,1,3,2017,1,1,-0.7818314824680299,1,1,3,4
4,1,1,2017,1,1,-0.7818314824680299,1,1,1,4
4,1,2,2017,1,1,-0.7818314824680299,1,1,2,4
4,1,0,2017,1,1,-0.7818314824680299,1,1,0,4
5,0,3,2017,1,1,-0.7818314824680299,1,1,3,0
5,0,1,2017,1,1,-0.7818314824680299,1,1,1,0
5,0,2,2017,1,1,-0.7818314824680299,1,1,2,0
5,0,0,2017,1,1,-0.7818314824680299,1,1,0,0
5,1,3,2017,1,1,-0.7818314824680299,1,1,3,5
5,1,1,2017,1,1,-0.7818314824680299,1,1,1,5
5,1,2,2017,1,1,-0.7818314824680299,1,1,2,5
5,1,0,2017,1,1,-0.7818314824680299,1,1,0,5
0,0,3,2017,1,2,0.0,2,0,0,0
0,0,1,2017,1,2,0.0,2,0,0,0
0,0,2,2017,1,2,0.0,2,0,0,0
0,0,0,2017,1,2,0.0,2,0,0,0
0,1,3,2017,1,2,0.0,2,0,0,0
0,1,1,2017,1,2,0.0,2,0,0,0
0,1,2,2017,1,2,0.0,2,0,0,0
0,1,0,2017,1,2,0.0,2,0,0,0
1,0,3,2017,1,2,0.0,2,0,0,0
1,0,1,2017,1,2,0.0,2,0,0,0
1,0,2,2017,1,2,0.0,2,0,0,0
1,0,0,2017,1,2,0.0,2,0,0,0
1,1,3,2017,1,2,0.0,2,0,0,1
1,1,1,2017,1,2,0.0,2,0,0,1
1,1,2,2017,1,2,0.0,2,0,0,1
1,1,0,2017,1,2,0.0,2,0,0,1
2,0,3,2017,1,2,0.0,2,0,0,0
2,0,1,2017,1,2,0.0,2,0,0,0
2,0,2,2017,1,2,0.0,2,0,0,0
2,0,0,2017,1,2,0.0,2,0,0,0
2,1,3,2017,1,2,0.0,2,0,0,2
2,1,1,2017,1,2,0.0,2,0,0,2
2,1,2,2017,1,2,0.0,2,0,0,2
2,1,0,2017,1,2,0.0,2,0,0,2
3,0,3,2017,1,2,0.0,2,0,0,0
3,0,1,2017,1,2,0.0,2,0,0,0
3,0,2,2017,1,2,0.0,2,0,0,0
3,0,0,2017,1,2,0.0,2,0,0,0
3,1,3,2017,1,2,0.0,2,0,0,3
3,1,1,2017,1,2,0.0,2,0,0,3
3,1,2,2017,1,2,0.0,2,0,0,3
3,1,0,2017,1,2,0.0,2,0,0,3
4,0,3,2017,1,2,0.0,2,0,0,0
4,0,1,2017,1,2,0.0,2,0,0,0
4,0,2,2017,1,2,0.0,2,0,0,0
4,0,0,2017,1,2,0.0,2,0,0,0
4,1,3,2017,1,2,0.0,2,0,0,4
4,1,1,2017,1,2,0.0,2,0,0,4
4,1,2,2017,1,2,0.0,2,0,0,4
4,1,0,2017,1,2,0.0,2,0,0,4
5,0,3,2017,1,2,0.0,2,0,0,0
5,0,1,2017,1,2,0.0,2,0,0,0
5,0,2,2017,1,2,0.0,2,0,0,0
5,0,0,2017,1,2,0.0,2,0,0,0
5,1,3,2017,1,2,0.0,2,0,0,5
5,1,1,2017,1,2,0.0,2,0,0,5
5,1,2,2017,1,2,0.0,2,0,0,5
5,1,0,2017,1,2,0.0,2,0,0,5
0,0,3,2017,1,3,0.7818314824680298,3,0,0,0
0,0,1,2017,1,3,0.7818314824680298,3,0,0,0
0,0,2,2017,1,3,0.7818314824680298,3,0,0,0
0,0,0,2017,1,3,0.7818314824680298,3,0,0,0
0,1,3,2017,1,3,0.7818314824680298,3,0,0,0
0,1,1,2017,1,3,0.7818314824680298,3,0,0,0
0,1,2,2017,1,3,0.7818314824680298,3,0,0,0
0,1,0,2017,1,3,0.7818314824680298,3,0,0,0
1,0,3,2017,1,3,0.7818314824680298,3,0,0,0
1,0,1,2017,1,3,0.7818314824680298,3,0,0,0
1,0,2,2017,1,3,0.7818314824680298,3,0,0,0
1,0,0,2017,1,3,0.7818314824680298,3,0,0,0
1,1,3,2017,1,3,0.7818314824680298,3,0,0,1
1,1,1,2017,1,3,0.7818314824680298,3,0,0,1
1,1,2,2017,1,3,0.7818314824680298,3,0,0,1
1,1,0,2017,1,3,0.7818314824680298,3,0,0,1
2,0,3,2017,1,3,0.7818314824680298,3,0,0,0
2,0,1,2017,1,3,0.7818314824680298,3,0,0,0
2,0,2,2017,1,3,0.7818314824680298,3,0,0,0
2,0,0,2017,1,3,0.7818314824680298,3,0,0,0
2,1,3,2017,1,3,0.7818314824680298,3,0,0,2
2,1,1,2017,1,3,0.7818314824680298,3,0,0,2
2,1,2,2017,1,3,0.7818314824680298,3,0,0,2
2,1,0,2017,1,3,0.7818314824680298,3,0,0,2
3,0,3,2017,1,3,0.7818314824680298,3,0,0,0
3,0,1,2017,1,3,0.7818314824680298,3,0,0,0
3,0,2,2017,1,3,0.7818314824680298,3,0,0,0
3,0,0,2017,1,3,0.7818314824680298,3,0,0,0
3,1,3,2017,1,3,0.7818314824680298,3,0,0,3
3,1,1,2017,1,3,0.7818314824680298,3,0,0,3
3,1,2,2017,1,3,0.7818314824680298,3,0,0,3
3,1,0,2017,1,3,0.7818314824680298,3,0,0,3
4,0,3,2017,1,3,0.7818314824680298,3,0,0,0
4,0,1,2017,1,3,0.7818314824680298,3,0,0,0
4,0,2,2017,1,3,0.7818314824680298,3,0,0,0
4,0,0,2017,1,3,0.7818314824680298,3,0,0,0
4,1,3,2017,1,3,0.7818314824680298,3,0,0,4
4,1,1,2017,1,3,0.7818314824680298,3,0,0,4
4,1,2,2017,1,3,0.7818314824680298,3,0,0,4
4,1,0,2017,1,3,0.7818314824680298,3,0,0,4
5,0,3,2017,1,3,0.7818314824680298,3,0,0,0
5,0,1,2017,1,3,0.7818314824680298,3,0,0,0
5,0,2,2017,1,3,0.7818314824680298,3,0,0,0
5,0,0,2017,1,3,0.7818314824680298,3,0,0,0
5,1,3,2017,1,3,0.7818314824680298,3,0,0,5
5,1,1,2017,1,3,0.7818314824680298,3,0,0,5
5,1,2,2017,1,3,0.7818314824680298,3,0,0,5
5,1,0,2017,1,3,0.7818314824680298,3,0,0,5
0,0,3,2017,1,4,0.9749279121818236,4,0,0,0
0,0,1,2017,1,4,0.9749279121818236,4,0,0,0
0,0,2,2017,1,4,0.9749279121818236,4,0,0,0
0,0,0,2017,1,4,0.9749279121818236,4,0,0,0
0,1,3,2017,1,4,0.9749279121818236,4,0,0,0
0,1,1,2017,1,4,0.9749279121818236,4,0,0,0
0,1,2,2017,1,4,0.9749279121818236,4,0,0,0
0,1,0,2017,1,4,0.9749279121818236,4,0,0,0
1,0,3,2017,1,4,0.9749279121818236,4,0,0,0
1,0,1,2017,1,4,0.9749279121818236,4,0,0,0
1,0,2,2017,1,4,0.9749279121818236,4,0,0,0
1,0,0,2017,1,4,0.9749279121818236,4,0,0,0
1,1,3,2017,1,4,0.9749279121818236,4,0,0,1
1,1,1,2017,1,4,0.9749279121818236,4,0,0,1
1,1,2,2017,1,4,0.9749279121818236,4,0,0,1
1,1,0,2017,1,4,0.9749279121818236,4,0,0,1
2,0,3,2017,1,4,0.9749279121818236,4,0,0,0
2,0,1,2017,1,4,0.9749279121818236,4,0,0,0
2,0,2,2017,1,4,0.9749279121818236,4,0,0,0
2,0,0,2017,1,4,0.9749279121818236,4,0,0,0
2,1,3,2017,1,4,0.9749279121818236,4,0,0,2
2,1,1,2017,1,4,0.9749279121818236,4,0,0,2
2,1,2,2017,1,4,0.9749279121818236,4,0,0,2
2,1,0,2017,1,4,0.9749279121818236,4,0,0,2
3,0,3,2017,1,4,0.9749279121818236,4,0,0,0
3,0,1,2017,1,4,0.9749279121818236,4,0,0,0
3,0,2,2017,1,4,0.9749279121818236,4,0,0,0
3,0,0,2017,1,4,0.9749279121818236,4,0,0,0
3,1,3,2017,1,4,0.9749279121818236,4,0,0,3
3,1,1,2017,1,4,0.9749279121818236,4,0,0,3
3,1,2,2017,1,4,0.9749279121818236,4,0,0,3
3,1,0,2017,1,4,0.9749279121818236,4,0,0,3
4,0,3,2017,1,4,0.9749279121818236,4,0,0,0
4,0,1,2017,1,4,0.9749279121818236,4,0,0,0
4,0,2,2017,1,4,0.9749279121818236,4,0,0,0
4,0,0,2017,1,4,0.9749279121818236,4,0,0,0
4,1,3,2017,1,4,0.9749279121818236,4,0,0,4
4,1,1,2017,1,4,0.9749279121818236,4,0,0,4
4,1,2,2017,1,4,0.9749279121818236,4,0,0,4
4,1,0,2017,1,4,0.9749279121818236,4,0,0,4
5,0,3,2017,1,4,0.9749279121818236,4,0,0,0
5,0,1,2017,1,4,0.9749279121818236,4,0,0,0
5,0,2,2017,1,4,0.9749279121818236,4,0,0,0
5,0,0,2017,1,4,0.9749279121818236,4,0,0,0
